Model,MSE,RMSE,R2
Linear Regression,0.3577085648581278,0.5980874224209433,0.40722195411090634
Decision Tree,0.30744172059846203,0.5544742740636954,0.4905218374253414
Random Forest,0.2679599794157407,0.5176485095272088,0.5559491480514507
